Name,Sym,Atomic Number,Group,Crystal Structure,Atomic Weight,Shells,Orbitals,Valence,Melting Point,Boiling Point,Electro-Negativity,Covalent Radius,Ionic Radius,Atomic Radius,Atomic Volume,First Ionization Potential,Second Ionization Potential,Third Ionization Potential,Oxydation States,Density @ 293 K,Specific Heat,Heat of Vaporization,Heat of Fusion,Electrical Conductivity,Thermal Conductivity,Modulus of Elasticity,Coeficient of Thermal Expansion,Lattice parm,Lattice parm,Lattice parm,Pronounced,Name Origin,Description,Discovered By,Year,Location,Sources.,Uses
Aluminum,Al,13,Metal,Cubic: Face centered,26.981539,"2,8,3", [Ne] 3s2 3p1,3,660.37°C,2519°C,1.5,1.18 Å,.54 (+3) Å,1.82 Å,10.0 cm³/mol,5.9858 V,18.828 V,28.447 V,3,2.702 g/cm³,0.90 J/gK,293.40 kJ/mol,10.790 kJ/mol,0.377 10^6/cm ohm,2.37 W/cmK,70.5 10³ MPa,23.1 10^-6 K^-1,4.0497 Å,,,ah-LOO-men-em,"Latin: alumen, aluminis, (alum).","Soft, lightweight, silvery-white metal. Third most abundant element in the earth's crust.",Hans Christian Oersted,1825,Denmark,Never occurs in free form. Obtained by electrolysis from bauxite (Al2O3).,"Used for many purposes from airplanes to beverage cans. Too soft in its pure form so less than 1% of silicon or iron is added, which hardens and strengthens it."
Silicon,Si,14,Non-Metal,Cubic: Face centered,28.0855,"2,8,4", [Ne] 3s2 3p2,4,1410°C,3265°C,1.8,1.11 Å,.26 (+4) Å,1.46 Å,12.1 cm³/mol,8.1517 V,16.345 V,33.492 V,"2,(4),-4",2.33 g/cm³,0.71 J/gK,384.220 kJ/mol,50.550 kJ/mol,2.52e-12 10^6/cm ohm,1.48 W/cmK,162 10³ MPa,2.6 10^-6 K^-1,5.4309 Å,,,SIL-i-ken,"Latin: silex, silicus, (flint).",Amorphous form is brown power; crystalline form has gray metallic appearance. Seventh most abundant element in the universe. Second most plentiful element in the earths crust.,Jöns Berzelius,1824,Sweden,"Makes up major portion of clay, granite, quartz (SiO2), and sand. Commercial production depends on a reaction between sand (SiO2) and carbon at a temperature of around 2200 °C.",Used in glass as silicon dioxide (SiO2). Silicon carbide (SiC) is one of the hardest substances known and used in polishing. Also the crystalline form is used in semiconductors.
Phosphorus,P,15,Non-Metal,Monoclinic,30.973762,"2,8,5", [Ne] 3s2 3p3,"3,5",44.1°C,277°C,2.19,1.06 Å,.17 (+5) Å,1.23 Å,17.0 cm³/mol,10.4867 V,19.725 V,30.18 V,"±3,(5),7",1.82 g/cm³,0.77 J/gK,12.129 kJ/mol,0.657 kJ/mol,1.0e-17 10^6/cm ohm,0.00235 W/cmK,5 10³ MPa,127 10^-6 K^-1,3.3137 Å,10.478 Å,4.3765 Å,FOS-fer-es,"Greek: phosphoros, (bringer of light).","Soft white waxy phosphorescent solid, brownish-red powder or black solid.",Hennig Brand,1669,Germany,"Found most often in phosphate rock. Pure phosphorus is obtained by heating a mixture of phosphate rock, coke, and silica to about 1450 °C.","Used in the production of fertilizers and detergents. Some is used in fireworks, safety matches, and incendiary weapons. Also some applications for it and some of its compounds which glow in the dark."
Sulfur,S,16,Non-Metal,Orthorhombic,32.066,"2,8,6", [Ne] 3s2 3p4,"2,4,6",115.21°C,444.6°C,2.58,1.02 Å,.29 (+6) Å,1.09 Å,15.5 cm³/mol,10.3600 V,23.33 V,34.83 V,"±2,4,(6)",2.07 g/cm³,0.71 J/gK,--,1.7175 kJ/mol,0.5e-23 10^6/cm ohm,0.00269 W/cmK,19 10³ MPa,70 10^-6 K^-1,10.4650 Å,12.8665 Å,24.4869 Å,SUL-fer,Latin: sulphur (brimstone).,"Tasteless, odorless, pale yellow, brittle solid. Tenth most abundant element in the universe.",Known to the ancients.,Unknown,Unknown,"Found in pure form and in ores like cinnabar, galena, sphalerite and stibnite. Pure form is obtained from undergound deposits by the Frasch process.","Used in matches, gunpowder, medicines, rubber and pesticides, dyes and insecticides. Also for making sulfuric acid (H2SO4)."
Chlorine,Cl,17,Halogen,Orthorhombic,35.4527,"2,8,7", [Ne] 3s2 3p5,"1,3,5,7",-100.98°C,-34.6°C,3.16,0.99 Å,1.81 (-1) Å,0.97 Å,16.9 cm³/mol,12.9676 V,23.81 V,39.611 V," (±1),3,5,7",0.003214 g/cm³,0.48 J/gK,10.20 kJ/mol,3.203 kJ/mol,--,0.000089 W/cmK,--,--,--,,,KLOR-een,Greek: chlôros (greenish yellow).,"Greenish-yellow, disagreeable gas. Never found in free form in nature.",Carl Wilhelm Scheele,1774,Sweden,"Salt (sodium chloride, NaCl) is its most common compound. Commercial quantities are produced by electrolysis of aqueous sodium chloride (seawater or brine from salt mines).","Used in water purification, bleaches, acids and many, many other compounds such as chlorofluorocarbons (CFC)."
Argon,Ar,18,Noble Gas,Cubic: Face centered,39.948,"2,8,8", [Ne] 3s2 3p6,0,-189.2°C,-185.7°C,0,0.98 Å,--,0.88 Å,23.9 cm³/mol,15.7596 V,27.629 V,40.74 V,0,0.0017824 g/cm³,0.520 J/gK,6.447 kJ/mol,1.188 kJ/mol,--,0.0001772 W/cmK,3 10³ MPa,618 10^-6 K^-1,--,,,AR-gon,Greek: argos (inactive).,"Colorless, odorless, tasteless noble gas. It is the third most abundant element in the earth's atmosphere and makes up about 1%.","Sir William Ramsey, Baron Rayleigh",1894,Scotland,Continuously released into the air by decay of radioactive potassium-40. Pure form is obtained from fractional distillation of liquid air.,Used in lighting products. It is often used in filling incandescent light bulbs. Some is mixed with krypton in fluorescent lamps. Crystals in the semiconductor industry are grown in argon atmospheres.
Potassium,K,19,Alkali Metal,Cubic: Body centered,39.0983,"2,8,8,1", [Ar] 4s1,1,63.25°C,759.9°C,0.82,2.03 Å,1.51 (+1) Å,2.77 Å,45.46 cm³/mol,4.3407 V,31.625 V,45.72 V,1,0.862 g/cm³,0.75 J/gK,79.870 kJ/mol,2.334 kJ/mol,0.139 10^6/cm ohm,1.024 W/cmK,2.4 10³ MPa,82 10^-6 K^-1,5.247 Å,,,pe-TASS-i-em,"English: pot ash; symbol from Latin: kalium, (alkali).","Soft, waxy, silver-white metal. Eighth most abundant element in the earth's crust (20,900 ppm). Occurs only in compounds.",Sir Humphrey Davy,1807,England,"Found in minerals like carnallite [(KMgCl3).6H2O] & sylvite (potassium chloride, KCL). Pure metal is produced by the reaction of hot potassium chloride and sodium vapors in a special retort.","Used as potash in making glass & soap. Also as saltpeter, potassium nitrate (KNO3) to make explosives and to color fireworks in mauve. Formerly called kalium (K). Vital to function of nerve and muscle tissures."
Calcium,Ca,20,Alkali Earth Metal,Cubic: Face centered,40.078,"2,8,8,2", [Ar] 4s2,2,839°C,1484°C,1,1.74 Å,1.00 (+2) Å,2.23 Å,25.9 cm³/mol,6.1132 V,11.871 V,50.908 V,2,1.55 g/cm³,0.63 J/gK,153.60 kJ/mol,8.540 kJ/mol,0.298 10^6/cm ohm,2.00 W/cmK,21 10³ MPa,22.3 10^-6 K^-1,5.5886 Å,,,KAL-si-em,"Latin: calx, calcis (lime).","Fairly hard, silvery-white metal. Fifth most abundant element in the earth's crust (41,500 ppm). Occurs only in compounds.",Sir Humphrey Davy,1808,England,"Obtained from minerals like chalk, limestone & marble. Pure metal is produced by replacing the calcium in lime (calcium carbonate, CaCO3) with aluminium in hot, low pressure retorts.","Used by many forms of life to make shells and bones. Virtually no use for the pure metal, however two of its compounds are, lime (CaO) and gypsum (CaSO4), are in great demand by a number of industries."
Scandium,Sc,21,Transition Metal,Hexagonal,44.95591,"2,8,9,2", [Ar] 3d1 4s2,3,1541°C,2830°C,1.36,1.44 Å,.75 (+3) Å,2.09 Å,15.0 cm³/mol,6.5614 V,12.80 V,24.76 V,3,3.0 g/cm³,0.6 J/gK,314.20 kJ/mol,14.10 kJ/mol,0.0177 10^6/cm ohm,0.158 W/cmK,80 10³ MPa,10.0 10^-6 K^-1,3.3091 Å,,5.2735 Å,SKAN-di-em,"Latin: Scandia, Scandinavia.","Fairly soft, silvery-white metal. Eighth most abundant 'rare earth' found in the earth's crust (5.0 ppm).",Lars Nilson,1879,Sweden,Occurs mainly in the minerals thortveitile (~34% scandium) and wiikite. Also in some tin and tungsten ores. Pure scandium is obtained as a by-product of uranium refining.,Scandium metal is used in some aerospace applications. Scandum oxide (Sc2O3) is used in the manufacture of high-intensity electric lamps. Scandium iodide (ScI3) is used in lamps that produce light having a color closely matching natural sunlight.
Titanium,Ti,22,Transition Metal,Hexagonal,47.88,"2,8,10,2", [Ar] 3d2 4s2,"2,3,4",1668°C ±10°C,3287°C,1.54,1.32 Å,.61 (+4) Å,2.00 Å,10.64 cm³/mol,6.8282 V,13.58 V,27.491 V," (4),3,2",4.50 g/cm³,0.52 J/gK,421.00 kJ/mol,15.450 kJ/mol,0.0234 10^6/cm ohm,0.219 W/cmK,110 10³ MPa,8.6 10^-6 K^-1,29512 Å,,4.6845 Å,tie-TAY-ni-em,Greek: titanos (Titans).,"Shiny, dark-gray metal. Ninth most abundant element in the earth's crust (5700 ppm). It can be highly polished, and is relatively immune to tarnishing.",William Gregor,1791,England,"Usually occurs in the minerals ilmenite (FeTiO3) or rutile (TiO2). Also in Titaniferous magnetite, titanite (CaTiSiO5), and iron ores. Pure metal produced by heating TiO2 with C and Cl2  to produce TiCl4 then heated with Mg gas in Ar atmosphere.","Since it is strong and resists acids it is used in many alloys. Titanium dioxide (TiO2), a white pigment that covers surfaces very well, is used in paint, rubber, paper and many others."
Vanadium,V,23,Transition Metal,Cubic: Body centered,50.9415,"2,8,11,2", [Ar] 3d3 4s2,"2,3,4,5",1890°C ±10°C,3407°C,1.63,1.22 Å,.54 (+5) Å,1.92 Å,08.78 cm³/mol,6.7463 V,14.65 V,29.31 V," (5),4,3,2",5.8 g/cm³,0.49 J/gK,0.452 kJ/mol,20.90 kJ/mol,0.0489 10^6/cm ohm,0.307 W/cmK,129 10³ MPa,8.4 10^-6 K^-1,3.0232 Å,,,veh-NAY-di-em,"From Scandinavian goddess, Vanadis.","Soft, ductile, silvery-white metal. Resistant to corrosion by moisture, air and most acids and alkalis at room temperature.",Nils Sefström,1830,Sweden,"Found in the minerals patronite (VS4), vanadinite [Pb5(VO4)3Cl], and carnotite [K2(UO2)2(VO4)2.3H2O]. Pure metal produced by heating with C and Cl to produce VCl3 which is heated  with Mg in Ar atmosphere.","It is mixed with other metals to make very strong and durable alloys. Vanadium pentoxide (V2O5) is used as a catalyst, dye and color-fixer."
Chromium,Cr,24,Transition Metal,Cubic: Body centered,51.9961,"2,8,13,1", [Ar] 3d5 4s1,"2,3,6",1857°C,2672°C,1.66,1.18 Å,.62 (+3) Å,1.85 Å,07.23 cm³/mol,6.7666 V,16.50 V,30.96 V,"6,(3),2",7.19 g/cm³,0.45 J/gK,344.30 kJ/mol,16.90 kJ/mol,0.0774 10^6/cm ohm,0.937 W/cmK,259 10³ MPa,4.9 10^-6 K^-1,2.8847 Å,,,KROH-mi-em,Greek: chrôma (color).,"Very hard, crystalline, steel-gray metal. The pure metal has a blue-white color. It is hard, brittle and corrsion-resistant at normal temperatures.",Louis Vauquelin,1797,France,"Chromite [Fe,Mg(CrO4)] is its most important mineral. Produced commercially by heating its ore in the presence of silicon or aluminium.",Used to make stainless steel. It gives the color to rubies and emeralds. Iron-nickel-chromium alloys in various percentages yield an incredible variety of the most important metals in modern technology.
Manganese,Mn,25,Transition Metal,Cubic: Body centered,54.93805,"2,8,13,2", [Ar] 3d5 4s2,"1,2,3,4,6,7",1244°C,2061°C,1.55,1.17 Å,.67 (+2) Å,1.79 Å,07.39 cm³/mol,7.4340 V,15.64 V,33.667 V,"7,6,4,(2),3",7.43 g/cm³,0.48 J/gK,226.0 kJ/mol,12.050 kJ/mol,0.00695 10^6/cm ohm,0.0782 W/cmK,198 10³ MPa,21.7 10^-6 K^-1,8.9142 Å,,,MAN-ge-nees,Latin: magnes (magnet); Italian: manganese.,"Hard, brittle, gray-white metal with a pinkish tinge. Rusts like iron in moist air.",Johann Gahn,1774,Sweden,"Most abundant ores are pyrolusite (MnO2), psilomelane [(Ba,H2O)2Mn5O10] and rhodochrosite (MnCO3). Pure metal produced by mixing MnO2 with powered Al and ignited in a furnace.","Used in steel, batteries and ceramics. The steel in railroad tracks can contain as much as 1.2% manganese. It is crucial to the effectiveness of vitamin B1."
Iron,Fe,26,Transition Metal,Cubic: Body centered,55.847,"2,8,14,2", [Ar] 3d6 4s2,"2,3,4,6",1535°C,2861°C,1.83,1.17 Å,.55 (+3) Å,1.72 Å,07.1 cm³/mol,7.9024 V,16.18 V,30.651 V,"2,(3)",7.86 g/cm³,0.44 J/gK,349.60 kJ/mol,13.80 kJ/mol,0.0993 10^6/cm ohm,0.802 W/cmK,211 10³ MPa,11.8 10^-6 K^-1,2.8665 Å,,,EYE-ern,Anglo-Saxon: iron; symbol from Latin: ferrum (iron).,"Malleable, ductile, silvery-white metal. Fourth most abundant element in the earth's crust (56,300 ppm). Ninth most abundant element in the universe.",Known to the ancients.,Unknown,Unknown,"Obtained from iron ores. Pure metal produced in blast furnaces by layering limestone, coke and iron ore and forcing hot gasses into the bottom.  This heats the coke red hot and the iron is reduced from its oxides and liquified where it flows to the bottom",Used in steel and other alloys. Essential for humans. It is the chief constituent of hemoglobin which carries oxygen in blood vessels. Its oxides are used in magnetic tapes and disks.
Cobalt,Co,27,Transition Metal,Hexagonal,58.9332,"2,8,15,2", [Ar] 3d7 4s2,"2,3",1495°C,2927°C,1.88,1.16 Å,.65 (+2) Å,1.67 Å,06.7 cm³/mol,7.8810 V,17.06 V,33.50 V," (2),3",8.90 g/cm³,0.42 J/gK,376.50 kJ/mol,16.190 kJ/mol,0.172 10^6/cm ohm,1.00 W/cmK,208 10³ MPa,13 10^-6 K^-1,2.507 Å,,4.070 Å,KO-bolt,German: kobold (goblin).,"Hard, ductile, lustrous bluish-gray metal. Exists in the earth's curst in cocentrations of about 25 ppm. It has remarkable magnetic properties.",George Brandt,1739,Sweden,"Occurs in compounds with arsenic, oxygen and sulfur as in cobaltine (CoAsS) and linneite (Co3S4). Pure cobalt is obtained as a byproduct of refining nickel, copper and iron.","Used in many hard alloys; for magnets, ceramics and special glasses. Remains hard up to 982°C. Radioactive cobalt-60 is used in cancer therapy."
Nickel,Ni,28,Transition Metal,Cubic: Face centered,58.6934,"2,8,16,2", [Ar] 3d8 4s2,"0,1,2,3",1453°C,2913°C,1.91,1.15 Å,.69 (+2) Å,1.62 Å,06.59 cm³/mol,7.6398 V,18.168 V,35.17 V," (2),3",8.90 g/cm³,0.44 J/gK,370.40 kJ/mol,17.470 kJ/mol,0.143 10^6/cm ohm,0.907 W/cmK,208 10³ MPa,13.4 10^-6 K^-1,3.5239 Å,,,NIK-l,German: kupfernickel (false copper).,"Hard, malleable, silvery-white metal. Found in the earth's crust in portions averaging 70 ppm. It can be polished to a lustrous finish. Virtually no corrosion under normal conditions.",Axel Cronstedt,1751,Sweden,"Chiefly found in pentlandite [(Ni,Fe)9S8] ore. The metal is produced by heating the ore in a blast furnace which replaces the sulfur with oxygen. The oxides are then treated with an acid that reacts with the iron not the nickel.",Used in electroplating and metal alloys because of its resistance to corrosion. Also in nickel-cadmium batteries; as a catalyst and for coins.
Copper,Cu,29,Transition Metal,Cubic: Face centered,63.546,"2,8,18,1", [Ar] 3d10 4s1,"1,2",1083°C,2567°C,1.9,1.17 Å,.73 (+2) Å,1.57 Å,07.1 cm³/mol,7.7264 V,20.292 V,36.83 V," (2),1",8.96 g/cm³,0.38 J/gK,300.30 kJ/mol,13.050 kJ/mol,0.596 10^6/cm ohm,4.01 W/cmK,124 10³ MPa,16.5 10^-6 K^-1,3.6148 Å,,,KOP-er,Symbol from Latin: cuprum (island of Cyprus famed for its copper mines).,"Malleable, ductile, reddish-brown metal.",Known to the ancients.,Unknown,Unknown,"Pure copper occurs rarely in nature. Usually found in sulfides as in chalcopyrite (CuFeS2), coveline (CuS), chalcosine (Cu2S) or oxides like cuprite (Cu2O).",Most often used as an electrical conductor. Also used in the manufacture of water pipes. Its alloys are used in jewelry and for coins.
Zinc,Zn,30,Metal,Hexagonal,65.39,"2,8,18,2", [Ar] 3d10 4s2,2,419.58°C,907°C,1.65,1.25 Å,.74 (+2) Å,1.53 Å,09.2 cm³/mol,9.3941 V,17.964 V,39.722 V,2,7.14 g/cm³,0.39 J/gK,115.30 kJ/mol,7.322 kJ/mol,0.166 10^6/cm ohm,1.16 W/cmK,95 10³ MPa,30.2 10^-6 K^-1,2.6650 Å,,4.9470 Å,ZINK,German: zink (German for tin).,"Bluish-silver, ductile metal.",Known to the ancients.,Unknown,Germany,"Found in the minerals zinc blende (sphalerite) (ZnS), calamine, franklinite, smithsonite (ZnCO3), willemite, and zincite (ZnO).","Used to coat other metal (galvanizing) to protect them from rusting. Also used in alloys such as brass, bronze, nickel. Also in solder, cosmetics and pigments."
